Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
193,RajarajeshwariN,Yashwanthapura,130,Ullalu,"Upkar Lyout park-2,3,4",,30677.14,,
,agar,,,,,,,,
194,RajarajeshwariN,Yashwanthapura,130,Ullalu,Railwaymens Society Park,at,40902.85,,
,agar,,,,Bhuvaneswarinagar -3,,,,
195,RajarajeshwariN,Yashwanthapura,130,Ullalu,Railwaymens Society Park,at,46284.81,,
,agar,,,,Bhuvaneswarinagar -4,,,,
196,RajarajeshwariN,Yashwanthapura,130,Ullalu,JnanaBarati BDA Layout,,22604.21,,
,agar,,,,Vallagerahalli Park No.3,,,,
197,RajarajeshwariN,Yashwanthapura,130,Ullalu,Kalayan HBCS Layout Park - 3,,22765.67,,
,agar,,,,,,,,
198,RajarajeshwariN,Yashwanthapura,159,Kengeri,Bandematt Park at Kengeri,,17222.25,,
,agar,,,,,,,,
199,RajarajeshwariN,Yashwanthapura,130,Ullalu,Kengeri KHB Layout Park (Play,,18718.44,,
,agar,,,,Ground) at Sirkke Aappartment,,,,
200,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,ConCard Garden City Residencial,,89394.27,,
,agar,,,,"Layout Park.1,2 & 3",,,,
201,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,Krishna Garden City Layout Park,,29062.55,,
,agar,,,,,,,,
202,RajarajeshwariN,Yashwanthapura,130,Ullalu,Gavipuram Guttahalli Layout Park,,18600.03,,
,agar,,,,,,,,
203,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BHEL Remco Pattanagere Park.2,,41763.97,,
,agar,,,,,,,,
204,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCMC Layout Park,at,32291.73,,
,agar,,,,Raghuvanahalli - 3,,,,
205,RajarajeshwariN,Rajarajeshwari Nagar,38,H.M.T,Jalahalli Behind Gatti Factory Park,,41710.15,,
,agar,,,,No.1,,,,
206,RajarajeshwariN,Rajarajeshwari Nagar,38,H.M.T,Jalahalli Behind Gatti Factory Park,,17566.7,,
,agar,,,,No.2,,,,
207,RajarajeshwariN,Rajarajeshwari Nagar,38,H.M.T,Jalahalli Behind Gatti Factory Park,,14498.98,,
,agar,,,,No.3,,,,
208,RajarajeshwariN,Rajarajeshwari Nagar,38,H.M.T,Jalahalli Behind Gatti Factory Park,,14186.83,,
,agar,,,,No.4,,,,
